confidence	arg1	rel	arg2	enabler	attribution	text	pattern	dependencies
1.0	Dewar 's	gave	discounts on Scottish merchandise to people			And Dewar 's gave discounts on Scottish merchandise to people who sent in bottle labels .		
1.0	people	sent	in bottle labels			And Dewar 's gave discounts on Scottish merchandise to people who sent in bottle labels .		
1.0	do n't expect many complete games by pitchers -- perhaps three out of 288	t expect many complete games by pitchers -- perhaps three out of 288 , laughs	many complete games by pitchers -- perhaps three out of 288 , laughs Mr. Fingers			And do n't expect many complete games by pitchers -- perhaps three out of 288 , laughs Mr. Fingers , the former Oakland reliever .		
1.0	he	got	rid of low - margin businesses			And he got rid of low - margin businesses that just were n't making money for the company .		
1.0	low - margin businesses	just were n't making	money for the company			And he got rid of low - margin businesses that just were n't making money for the company .		
1.0	Annualized interest rates on certain investments	reported	by the Federal Reserve Board on a weekly - average basis			Annualized interest rates on certain investments as reported by the Federal Reserve Board on a weekly - average basis :		
1.0	he	said	he will examine the Marcos documents			As a result , he said he will examine the Marcos documents sought by the prosecutors to determine whether turning over the filings is self - incrimination .		
1.0	the Marcos documents	sought	by the prosecutors to determine whether turning over the filings is self - incrimination			As a result , he said he will examine the Marcos documents sought by the prosecutors to determine whether turning over the filings is self - incrimination .		
1.0	American Brands	had	As of Sept. 30 , American Brands had 95.2 million shares outstanding			As of Sept. 30 , American Brands had 95.2 million shares outstanding .		
1.0	the market	was still listening	to the parliamentary debate on the economy , with new Chancellor of the Exchequer John Major expected to clarify his approach to the British economy and currency issues			As the London trading session drew to a close , the market was still listening to the parliamentary debate on the economy , with new Chancellor of the Exchequer John Major expected to clarify his approach to the British economy and currency issues .		
1.0	the market	was still listening	As the London trading session drew to a close , the market was still listening to the parliamentary debate on the economy			As the London trading session drew to a close , the market was still listening to the parliamentary debate on the economy , with new Chancellor of the Exchequer John Major expected to clarify his approach to the British economy and currency issues .		
1.0	new Chancellor of the Exchequer John Major	expected to clarify	his approach to the British economy and currency issues			As the London trading session drew to a close , the market was still listening to the parliamentary debate on the economy , with new Chancellor of the Exchequer John Major expected to clarify his approach to the British economy and currency issues .		
1.0	sales	have tripled	At Giant Bicycle Inc. , Rancho Dominguez , Calif. , sales have tripled since the company entered the U.S. mountain - bike business in 1987			At Giant Bicycle Inc. , Rancho Dominguez , Calif. , sales have tripled since the company entered the U.S. mountain - bike business in 1987 .		
1.0	the company	entered	the U.S. mountain - bike business in 1987			At Giant Bicycle Inc. , Rancho Dominguez , Calif. , sales have tripled since the company entered the U.S. mountain - bike business in 1987 .		
1.0	the 20 - stock Major Market Index	mimics	the industrial average			At one point , almost all of the shares in the 20 - stock Major Market Index , which mimics the industrial average , were sharply higher .		
1.0	almost all of the shares in the 20 - stock Major Market Index	were	At one point , almost all of the shares in the 20 - stock Major Market Index , which mimics the industrial average , were sharply higher			At one point , almost all of the shares in the 20 - stock Major Market Index , which mimics the industrial average , were sharply higher .		
1.0	it	completed	the sale of Uniroyal Chemical Holding Co			Avery Inc. said it completed the sale of Uniroyal Chemical Holding Co. to a group led by management of Uniroyal Chemical Co. , the unit 's main business .		
1.0	it	completed	the sale of Uniroyal Chemical Holding Co. to a group led by management of Uniroyal Chemical Co			Avery Inc. said it completed the sale of Uniroyal Chemical Holding Co. to a group led by management of Uniroyal Chemical Co. , the unit 's main business .		
1.0	Avery Inc	said	it completed the sale of Uniroyal Chemical Holding Co. to a group			Avery Inc. said it completed the sale of Uniroyal Chemical Holding Co. to a group led by management of Uniroyal Chemical Co. , the unit 's main business .		
1.0	a group	led	by management of Uniroyal Chemical Co			Avery Inc. said it completed the sale of Uniroyal Chemical Holding Co. to a group led by management of Uniroyal Chemical Co. , the unit 's main business .		
1.0	patients	require	less attention from nurses and other staff			Because patients require less attention from nurses and other staff , room charges are lower -- about $ 100 less per day than a regular room at the Vermont hospital .		
